"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-12-31,"22655","VA","Winchester","Frederick County","Stephens City",5254,1450,0.0006,0.0117,0.0215,8585
2019-12-31,"01749","MA","Boston-Cambridge-Newton","Middlesex County","Hudson",5255,2280,-0.0099,-0.0403,0.0202,6874
2019-12-31,"08104","NJ","Philadelphia-Camden-Wilmington","Camden County","Camden",5256,1120,-0.0159,-0.0098,-0.035,6213
2019-12-31,"24151","VA","Roanoke","Franklin County","Rocky Mount",5257,880,-0.0083,-0.0116,-0.0825,6430
2019-12-31,"60430","IL","Chicago-Naperville-Elgin","Cook County","Homewood",5258,1400,0.0226,0.0045,-0.0335,8292
2019-12-31,"07201","NJ","New York-Newark-Jersey City","Union County","Elizabeth",5259,1820,0.005,0.0278,0.0286,3790
2019-12-31,"11776","NY","New York-Newark-Jersey City","Suffolk County","Port Jefferson Station",5260,2490,0.0102,-0.0144,-0.0021,9430
2019-12-31,"14206","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County","Buffalo",5261,850,0.0053,0.0281,-0.0082,8073
2019-12-31,"95819","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Sacramento",5262,2030,-0.0021,-0.0213,-0.0191,7245
2019-12-31,"29492","SC","Charleston-North Charleston","Charleston County","Charleston",5263,1740,-0.0028,-0.0085,0.0071,9482
2019-12-31,"55317","MN","Minneapolis-St. Paul-Bloomington","Carver County","Chanhassen",5264,1860,-0.004,0.0017,0.0418,8206
2019-12-31,"91307","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",5265,2990,-0.0045,0.0073,0.0243,9325
2019-12-31,"91775","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","San Gabriel",5266,2600,-0.0033,0.0047,-0.0055,7030
2019-12-31,"21158","MD","Baltimore-Columbia-Towson","Carroll County","Westminster",5267,1510,-0.0127,-0.022,-0.022,7395
2019-12-31,"29379","SC","Spartanburg","Union County","Union",5268,1090,-0.0125,0.0078,0.0706,1445
2019-12-31,"60177","IL","Chicago-Naperville-Elgin","Kane County","South Elgin",5269,1610,0.0014,0.0062,0.0142,8652
2019-12-31,"99705","AK","Fairbanks","Fairbanks North Star Borough","North Pole",5270,1490,-0.0136,-0.029,-0.0198,9401
2019-12-31,"63138","MO","St. Louis","Saint Louis County","Spanish Lake",5271,870,0.0066,0.028,0.0256,5905
2019-12-31,"41102","KY","Huntington-Ashland","Boyd County","Ashland",5272,880,-0.0295,0.01,0.001,5411
2019-12-31,"77086","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",5273,1300,0.0131,-0.0104,0.005,6399
2019-12-31,"33773","FL","Tampa-St. Petersburg-Clearwater","Pinellas County","Largo",5274,1350,0.0093,0.0383,0.0286,7000
2019-12-31,"94105","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",5275,4270,-0.0098,0.0035,-0.007,7879
2019-12-31,"33181","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","North Miami",5276,2010,-0.0129,-0.0298,-0.0405,9716
2019-12-31,"43311","OH","Bellefontaine","Logan County","Bellefontaine",5277,960,0.0097,0.0094,0.0177,6119
2019-12-31,"19010","PA","Philadelphia-Camden-Wilmington","Delaware County","Bryn Mawr",5278,2060,0.0003,0.0155,0.0393,6595
2019-12-31,"02114","MA","Boston-Cambridge-Newton","Suffolk County","Boston",5279,2910,0.0009,-0.017,0.0243,7667
2019-12-31,"80528","CO","Fort Collins","Larimer County","Fort Collins",5280,1730,0.0035,0.0114,0.0244,8211
2019-12-31,"79601","TX","Abilene","Taylor County","Abilene",5281,970,0.0103,0.0277,0.0252,6302
2019-12-31,"23294","VA","Richmond","Henrico County","Henrico",5282,1330,0.013,0.0118,0.0079,6118
2019-12-31,"91737","CA","Riverside-San Bernardino-Ontario","San Bernardino County","Rancho Cucamonga",5283,2440,-0.0012,-0.0103,0.0351,7810
2019-12-31,"34695","FL","Tampa-St. Petersburg-Clearwater","Pinellas County","Safety Harbor",5284,1410,0.0072,0.0302,0.0328,7477
2019-12-31,"36606","AL","Mobile","Mobile County","Mobile",5285,870,-0.0001,0.0106,0.0091,7052
2019-12-31,"45030","OH","Cincinnati","Hamilton County","Harrison",5286,1110,0.0175,0.0178,0.0065,6470
2019-12-31,"06850","CT","Bridgeport-Stamford-Norwalk","Fairfield County","Norwalk",5287,2030,0.0048,0.0001,0.0346,11974
2019-12-31,"33185","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Kendall West",5288,2150,-0.0129,-0.0121,0.0761,11278
2019-12-31,"02649","MA","Barnstable Town","Barnstable County","Mashpee",5289,1940,0.0091,-0.0404,0.0318,11636
2019-12-31,"07094","NJ","New York-Newark-Jersey City","Hudson County","Secaucus",5290,2320,0.0099,0.0207,0.0039,5872
2019-12-31,"35901","AL","Gadsden","Etowah County","Gadsden",5291,730,0.005,0.0154,-0.021,6997
2019-12-31,"53029","WI","Milwaukee-Waukesha-West Allis","Waukesha County","Merton",5292,1630,0.0039,0.0285,0.0107,3676
2019-12-31,"97317","OR","Salem","Marion County","Salem",5293,1420,0.0044,0.0039,0.0461,4042
2019-12-31,"23504","VA","Virginia Beach-Norfolk-Newport News","Norfolk City","Norfolk",5294,1080,0.0045,-0.0133,0.0081,5763
2019-12-31,"93041","CA","Oxnard-Thousand Oaks-Ventura","Ventura County","Port Hueneme",5295,2460,-0.0025,0.0113,0.0227,6759
2019-12-31,"01890","MA","Boston-Cambridge-Newton","Middlesex County","Winchester",5296,2630,-0.0282,-0.0449,0.0213,8445
2019-12-31,"36693","AL","Mobile","Mobile County","Mobile",5297,1070,-0.0002,0.0206,-0.0055,6724
2019-12-31,"79119","TX","Amarillo","Potter County","Amarillo",5298,1510,0.0035,0.0582,0.1112,7542
2019-12-31,"60194","IL","Chicago-Naperville-Elgin","Cook County","Schaumburg",5299,1650,-0.0024,-0.0063,0.0119,8686
2019-12-31,"14760","NY","Olean","Cattaraugus County","Town of Olean",5300,720,0.0111,0.0359,-0.052,7218
2019-12-31,"07080","NJ","New York-Newark-Jersey City","Middlesex County","South Plainfield",5301,1970,-0.0076,-0.0007,-0.0031,3907
2019-12-31,"28714","NC",,"Yancey County","Burnsville",5302,1190,-0.0244,-0.0213,-0.0142,8850
2019-12-31,"18067","PA","Allentown-Bethlehem-Easton","Northampton County","Northampton",5303,1280,-0.0054,0.0112,0.0256,7758
2019-12-31,"14211","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County","Buffalo",5304,850,0.0025,0.0213,0.0149,7650
2019-12-31,"63020","MO","St. Louis","Jefferson County","De Soto",5305,890,0.0076,0.0669,0.0226,7890
2019-12-31,"14051","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County","Town Of Amherst",5306,1130,-0.0186,-0.0461,-0.0603,7748
2019-12-31,"33323","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Sunrise",5307,1970,-0.0093,0.0092,-0.0015,11423
2019-12-31,"78222","TX","San Antonio-New Braunfels","Bexar County","San Antonio",5308,1080,-0.013,-0.0336,-0.1425,6637
2019-12-31,"12110","NY","Albany-Schenectady-Troy","Albany County","Town of Colonie",5309,1330,-0.0095,-0.0059,-0.0393,6447
2019-12-31,"31503","GA","Waycross","Ware County","Waycross",5310,1050,0.0217,0.0307,0.1834,7020
2019-12-31,"46012","IN","Indianapolis-Carmel-Anderson","Madison County","Anderson",5311,800,0.021,0.0805,0.0894,8167
2019-12-31,"32601","FL","Gainesville","Alachua County","Gainesville",5312,1150,0.0036,0.0317,0.1162,5277
2019-12-31,"85901","AZ","Show Low","Navajo County","Show Low",5313,1130,-0.0296,-0.035,-0.0948,9473
